<pre>
#
# Formatierung: die Formatierung lehnt sich ans Wiki an.
#
# Links: [[...|...]] sind (wie im OSM-Wiki) interne Verweise ins OSM-Wiki
#        [... ...] sind (wie im OSM-Wiki) externe Verweise ins Internet
#
# Überschriften beginnen mit '=', '==', '===', '====', ... am Anfang einer Zeile
#
# Einfacher Text beginnt mit '-' am Anfang einer Zeile.
#     Einfacher Text darf überall stehen.
#     Ein einfaches '-' am Anfang der Zeile gefolgt von 'nichts':
#     - wenn davor einfacher Text stand wird ein Zeilenumbruch erzeugt und das bisher ausgegebenen in einen Paragraphen <p> ... </p> gepackt
#     - wenn vorher kein einfacher Text stand bzw. ein Zeilenumbruch erzeugt wurde, so wird eine Leerzeile erzeugt mit Hilfe von <p>&amp;nbsp;</p>
#
# !!!Text mit gelbem Hintergrund!!! in einfachem Text oder Überschriften
# '''''Text mit dicken, kursiven Buchstaben''''' in einfachem Text oder Überschriften
# '''Text mit dicken Buchstaben''' in einfachem Text oder Überschriften
# ''Text mit kursiven Buchstaben'' in einfachem Text oder Überschriften
#
# Kommentare beginnen mit '#' am Anfang einer Zeile. Kommentare mittendrin werden nicht erkannt, d.h. '#' darf innerhalb von Text vorkommen.
#
# Format der Datei: UTF-8
#
#
# Definition von Linieninformationen: Inhalt im CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' von route oder route_master
#                250            definiert, dass hier Linien mit 'ref'='250' erwartet wird
#                250|250a|250b  definiert, dass hier Linien mit 'ref'='250' und 'ref'='250a' und 'ref'='250b' zulässig sind - ob das nach PTv1/PTv2 erlaubt ist, ist eine andere Sache
# - type      == inhalt des tags 'route' bzw. 'route_master'
# - comment   == kann Kommentar enthalten wie; Ruftaxi, Bus, Expressbus, ...  wird nicht ausgewertet, lediglich ausgegeben
#                !Text mit gelbem Hintergrund! im comment (umgeben von einfachem !)
# - from      == wird bei mehreren Linie mit identischem ref, type und operator zur Differenzierung herangezogen
# - to        == wird bei mehreren Linie mit identischem ref, type und operator zur Differenzierung herangezogen
# - operator  == wird bei mehreren Linie mit identischem ref und type Differenzierung herangezogen
#                Der Wert von 'operator' darf ';' enthalten
#


= Überblick über die ÖPNV-Linien des Rhein-Main-Verkehrsverbund

- Verweis auf die Datei mit den [[Rhein-Main-Verkehrsverbund/Analyse/DE-HE-RMV-Linien|RMV-Linien]] im Wiki.
- Verweis auf mehr [[Talk:Rhein-Main-Verkehrsverbund/Analyse|Informationen]] im Wiki.

== Hinweis

- Dieses ist eine !!!'''IST-Analyse'''!!! und spiegelt den Status der in OSM gemappten Linien im Gebiet des "Rhein-Main-Verkehrsverbund" wider.
-
- Bei der Analyse ist 'network' derzeit entweder
-
- * "RMV"                           short form, oder
-
- * "Rhein-Main-Verkehrsverbund"  long form, oder
-
- * leer, d.h. nicht gesetzt
-
#
#ref;type;comment;from;to;operator

== Regional-Züge

11;bus;;;;Magistrat der Stadt Bad Homburg v.d.H.
12;bus;;;;Magistrat der Stadt Bad Homburg v.d.H.
17;bus;;;;Magistrat der Stadt Bad Homburg v.d.H.
==== Abendverkehr
==== Nachtbus
n34;bus;;;;
==== Schulverkehr
==== Regionalbuslinien
-

=== Frankfurt/Main
==== Tagverkehr
==== Buslinien
==== Nachtbusse

-

=== Fulda
==== Stadtbuslinien
1;bus;;;;Rhönenergie Fulda
2;bus;;;;Rhönenergie Fulda
3;bus;;;;Rhönenergie Fulda
4;bus;;;;Rhönenergie Fulda
==== Buslinien Landkreis
20;bus;;;;LNG Fulda
==== Regionalbuslinien
-

=== Gießen
==== Stadtverkehr Gießen
1;bus;;;;Stadtwerke Gießen
2;bus;;;;Stadtwerke Gießen
3;bus;;;;Stadtwerke Gießen
10;bus;;;;Stadtwerke Gießen
12;bus;;;;Stadtwerke Gießen
13;bus;;;;Stadtwerke Gießen
15;bus;;;;Stadtwerke Gießen
17;bus;;;;Stadtwerke Gießen
Saturn;bus;;;;Stadtwerke Gießen
Venus;bus;;;;Stadtwerke Gießen
==== Landkreis Gießen
-

=== Groß-Gerau
==== Stadtverkehr Rüsselsheim
1;bus;;;;Stadtwerke Rüsselsheim
11;bus;;;;Stadtwerke Rüsselsheim
==== Mainspitze - Mainz/Wiesbaden
==== Lokal- und Regionalverkehr
==== Rüsselsheim
-

=== Hochtaunus-Kreis
-

=== Lahn-Dill-Kreis
==== Stadtbusverkehr Wetzlar
007;bus;;;;Wetzlarer Verkehrsbetriebe
10;bus;;;;Wetzlarer Verkehrsbetriebe
11;bus;;;;Wetzlarer Verkehrsbetriebe
12;bus;;;;Wetzlarer Verkehrsbetriebe
13;bus;;;;Wetzlarer Verkehrsbetriebe
14;bus;;;;Wetzlarer Verkehrsbetriebe
15;bus;;;;Wetzlarer Verkehrsbetriebe
16;bus;;;;Wetzlarer Verkehrsbetriebe
17;bus;;;;Wetzlarer Verkehrsbetriebe
18;bus;;;;Wetzlarer Verkehrsbetriebe
120/125;bus;;;;Wetzlarer Verkehrsbetriebe
==== Buslinien im Lahn-Dill-Kreis
100;bus;;;;
102;bus;;;;
103;bus;;;;
105;bus;;;;
106;bus;;;;
-

=== Landkreis Limburg-Weilburg
==== Stadtbusverkehr Limburg
==== Buslinien im Landkreis Limburg-Weilburg
-

=== Main-Kinzig-Kreis
==== Stadtbusverkehr Hanau
1;bus;;;;Hanauer Straßenbahn GmbH
2;bus;;;;Hanauer Straßenbahn GmbH
3;bus;;;;Hanauer Straßenbahn GmbH
4;bus;;;;Hanauer Straßenbahn GmbH
10;bus;;;;Hanauer Straßenbahn GmbH
11;bus;;;;Hanauer Straßenbahn GmbH
12;bus;;;;Hanauer Straßenbahn GmbH
20;bus;;Hanau Hauptbahnhof;Hanau Kiefernweg;Hanauer Straßenbahn GmbH
==== Main-Kinzig-Kreis
==== Regionale Buslinien
-

=== Main-Taunus-Kreis
-

=== Mainz
==== Tagverkehr
==== Nacht- und Diskobusse
-

=== Landkreis Marburg-Biedenkopf
==== Stadtbusverkehr Marburg
1;bus;;;;MVG
2;bus;;;;Stadtwerke Marburg
3;bus;;;;Stadtwerke Marburg
4;bus;;;;Stadtwerke Marburg
10;bus;;;;Stadtwerke Marburg
11;bus;;;;SWM
11 AST;bus;;;;SWM
12;bus;;;;SWM
12 AST;bus;;;;SWM
13;bus;;;;SWM
13 AST;bus;;;;SWM
14;bus;;;;SWM
15;bus;;;;SWM
16;bus;;;;SWM
17;bus;;;;Stadtwerke Marburg
17 AST;bus;;;;SWM
18;bus;;;;SWM
19;bus;;;;SWM
20;bus;;;;SWM
==== Landkreis Marburg-Biedenkopf
==== Regionale Buslinien
-

=== Odenwaldkreis
==== Stadtbuslinien im Odenwaldkreis
1;bus;;;;Stadtwerke Michelstadt GmbH
2;bus;;;;Stadtwerke Michelstadt GmbH
3;bus;;;;Stadtwerke Michelstadt GmbH
4;bus;;;;Stadtwerke Michelstadt GmbH
==== Buslinien im Odenwaldkreis
12;bus;;;;Odenwälder Verkehrsbetriebe GmbH	
14;bus;;;;Odenwälder Verkehrsbetriebe GmbH	
15;bus;;;;Odenwälder Verkehrsbetriebe GmbH	
20;bus;;;;Odenwälder Verkehrsbetriebe GmbH	
==== Regionale Buslinien
==== Freizeit-Buslinien
-

=== Offenbach am Main
==== Stadt Offenbach
101;bus;;;;OVB
102;bus;;;;OVB
103;bus;;;;OVB
104;bus;;;;OVB
105;bus;;;;OVB
106;bus;;;;OVB
107;bus;;;;OVB
108;bus;;;;OVB
120;bus;;;;OVB
==== Landkreis Offenbach
==== Regionalbuslinien
==== Nachtbuslinien
-

=== Rheingau-Taunus-Kreis
-

=== Vogelsbergkreis
VB-11;bus;;;;
VB-12;bus;;;;
VB-13;bus;;;;
VB-15;bus;;;;
VB-16;bus;;;;
VB-21;bus;;;;
VB-22;bus;;;;
VB-24;bus;;;;
VB-26;bus;;;;
VB-28;bus;;;;
VB-42;bus;;;;
VB-50;bus;;;;
VB-51;bus;;;;
VB-52;bus;;;;
VB-53;bus;;;;
VB-54;bus;;;;
VB-55;bus;;;;
VB-60;bus;;;;
VB-61;bus;;;;
VB-65;bus;;;;
VB-71;bus;;;;
VB-75;bus;;;;
VB-76;bus;;;;
VB-77;bus;;;;
VB-78;bus;;;;
VB-79;bus;;;;
VB-90;bus;;;;
VB-91;bus;;;;
VB-92;bus;;;;
VB-93;bus;;;;
VB-94;bus;;;;
