<pre>
#
# Format: format is like in the OSM Wiki
#
# Links: [[...|...]] are interne link like in the OSM Wiki
#        [... ...] are external links
#
# Headers start with '=', '==', '===', '====', ... at the beginning of a line
#
# Simple text starts with '-' at the beginning of a line.
#    Simple text starts may only be placed directly after a header line.
#    A single '-' at the beginning of a line, followed by nothing:
#    - if there was simple text before, it creates a line feed (i.e. encloses the text in a paragraph <p> ... </p>)
#    - if there was no simple text before or a line feed, it creates an empty line (i.e. <p>&amp;nbsp;</p>)
#
# !!!Text yellow background!!! in simple text or headers
# '''''Text mit bold and italics''''' in simple text or headers
# '''Text with bold chars''' in simple text or headers
# ''Text with italic chars'' in simple text or headers
#
# Comments start with '#' at the beginning of a line. '#' inside text is not recognized as the start of a comment, i.e.. '#' may occur inside of text.
#
# Format of the file: UTF-8
#
#
# Cotents in CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' of route or route_master
#                250            defines that routes with 'ref'='250' are expected
#                250|250a|250b  defines that routes with 'ref'='250' or 'ref'='250a' or 'ref'='250b' are expected - independent of whether this is allowed according to PTv1/PTv2
# - type      == contents of tags 'route' respectively 'route_master'
# - comment   == can include comments like; Bus, Expressbus, ...  will not be analyzed, but simply be printed out
#                !Text with yellow background! in comment (surrounded by single !)
# - from      == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - to        == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - operator  == if there is more than one entry with "ref;type", then "operator" is used to distinguish between same line number in different cities/villages
#


= Overview on Public Transportation of the BHTtrans network in Belo Horizonte, MG

- Link to the data with the description of [[Belo_Horizonte/Public_Transport/Analysis/BHTrans_Lines|BHTrans Lines]] in OSM-Wiki.
- Link to more [[Talk:Belo_Horizonte/Public_Transport/Analysis|information]] in OSM-Wiki.

#
#ref;type;comment;from;to;operator

== Onibus

8106;bus;GTFS route_id=8106  02;Santa Cruz;Bh Shopping Via Belvedere (Desvio Feira Av. Afonso Pena);
8106;bus;GTFS route_id=8106  03;Santa Cruz;Bh Shopping Via Belvedere (Retorno Expresso);
8107;bus;GTFS route_id=8107  01;Concordia;Sao Pedro (Principal);
8107;bus;GTFS route_id=8107  02;Concordia;Sao Pedro (Desvio Feira Av. Afonso Pena);
8108;bus;GTFS route_id=8108  01;Cidade Nova;Savassi (Principal);
8108;bus;GTFS route_id=8108  02;Cidade Nova;Savassi (Desvio Feira Av. Afonso Pena);
8150;bus;GTFS route_id=8150  01;Uniao;Serra (Principal);
8151;bus;GTFS route_id=8151  01;Est. Sao Gabriel;Bh Shopping Via Anel Rodoviario (Principal);
8151;bus;GTFS route_id=8151  02;Est. Sao Gabriel;Bh Shopping Via Anel Rodoviario (Partidas Da Estacao Sao Gabriel);
8151;bus;GTFS route_id=8151  03;Est. Sao Gabriel;Estacao Sao Gabriel);
8203;bus;GTFS route_id=8203  01;Renascenca;Buritis (Principal);
8203;bus;GTFS route_id=8203  03;Renascenca;Buritis (Atendimento Av.Deputado Cristovam Chiaradia);
8203;bus;GTFS route_id=8203  04;Renascenca;Buritis (Noturno);
8203;bus;GTFS route_id=8203  07;Renascenca;Buritis (Via R. Borborema);
8203;bus;GTFS route_id=8203  08;Renascenca;Buritis 2);
8203;bus;GTFS route_id=8203  09;Renascenca;Buritis (Atendimento Ao Buritis Ii);
8205;bus;GTFS route_id=8205  01;Maria Goretti;Nova Granada (Principal);
8205;bus;GTFS route_id=8205  02;Maria Goretti;Nova Granada (Via Alto Barroca);
8205;bus;GTFS route_id=8205  03;Maria Goretti;Nova Granada (Desvio Feira Da Silva Lobo);
8205;bus;GTFS route_id=8205  04;Maria Goretti;Nova Granada (Desvio Feira Silva Lobo Via Alto Barroca);
8205;bus;GTFS route_id=8205  05;Maria Goretti;Nova Granada (Via Bairro Sao Paulo);
8205;bus;GTFS route_id=8205  06;Maria Goretti;Nova Granada (Via Bairro Sao Paulo E Alto Barroca);
8207;bus;GTFS route_id=8207  01;Maria Goretti;Estrela Dalva (Principal);
8207;bus;GTFS route_id=8207  03;Maria Goretti;Estrela Dalva (Retorno Expresso);
8207;bus;GTFS route_id=8207  04;Maria Goretti;Estrela Dalva (Partidas Da Rua Barreiro Grande);
8208;bus;GTFS route_id=8208  01;Santa Cruz;Estoril (Principal);
8350;bus;GTFS route_id=8350  02;Estacao Sao Gabriel;Estacao Barreiro (Principal);
8350;bus;GTFS route_id=8350  07;Estacao Sao Gabriel;Del Rey);
8401;bus;GTFS route_id=8401  01;Cachoeirinha;Sao Jose (Principal);
8401;bus;GTFS route_id=8401  04;Cachoeirinha;Centro);
8405;bus;GTFS route_id=8405  01;Palmares;Bela Vista (Principal);
8501;bus;GTFS route_id=8501  01;Maria Goretti;Engenho Nogueira Via Ouro Preto (Principal);
8550;bus;GTFS route_id=8550  01;Est. Sao Gabriel;Zoologico Via Est. Pampulha (Principal);
8551;bus;GTFS route_id=8551  01;Est. Sao Gabriel;Estacao Ufmg Via Anel Rodoviario (Principal);
9030;bus;GTFS route_id=9030  01;Castanheiras;Centro (Principal);
9030;bus;GTFS route_id=9030  02;Castanheiras;Centro (Partidas Da Rua Dos Caetes);
9032;bus;GTFS route_id=9032  01;Granja De Freitas (Principal);Granja De Freitas (Principal);
9032;bus;GTFS route_id=9032  05;Granja De Freitas (Desvio Feira Afonso Pena);Granja De Freitas (Desvio Feira Afonso Pena);
9101;bus;GTFS route_id=9101  01;Alto Vera Cruz;Sao Bento (Principal);
9101;bus;GTFS route_id=9101  02;Alto Vera Cruz;Desvio Feira Af.Pena);
9101;bus;GTFS route_id=9101  03;Alto Vera Cruz;Sao Bento (Alto Santa Lucia);
9103;bus;GTFS route_id=9103  01;Santa Tereza;Santo Antonio (Principal);
9103;bus;GTFS route_id=9103  03;Santa Tereza;Santo Antonio (Desvio Feira Av.Afonso Pena);
9104;bus;GTFS route_id=9104  01;Sagrada Familia;Luxemburgo (Principal);
9104;bus;GTFS route_id=9104  02;Sagrada Familia;Luxemburgo (Ponto Final Na Rua Guaicui);
9104;bus;GTFS route_id=9104  04;Sagrada Familia;Luxemburgo (Retorno Expresso(Portas Fechadas));
9105;bus;GTFS route_id=9105  01;Nova Vista;Sion (Principal);
9105;bus;GTFS route_id=9105  04;Nova Vista;Centro);
9105;bus;GTFS route_id=9105  05;Nova Vista;Sion (Desvio Feira Av.Afonso Pena);
9106;bus;GTFS route_id=9106  01;Sagrada Familia;Serra (Principal);
9106;bus;GTFS route_id=9106  02;Sagrada Familia;Serra (Desvio Feira Av.Afonso Pena);
9201;bus;GTFS route_id=9201  05;Baleia;Nova Granada (Principal);
9201;bus;GTFS route_id=9201  06;Baleia;Nova Granada (Unidade Antonio Mourao Guimaraes);
9201;bus;GTFS route_id=9201  07;Baleia;Nova Granada (Desvio Feira Da Av. Silva Lobo);
9202;bus;GTFS route_id=9202  03;Pompeia;Jardim America (Principal);
9202;bus;GTFS route_id=9202  04;Pompeia;Jardim America (Desvio Feira Av. Afonso Pena);
9202;bus;GTFS route_id=9202  11;Pompeia;Jardim America (Encerra Viagem No Estoril);
9202;bus;GTFS route_id=9202  12;Pompeia;Jardim America (Partidas Do Estoril);
9204;bus;GTFS route_id=9204  01;Santa Efigenia;Estoril (Principal);
9204;bus;GTFS route_id=9204  05;Santa Efigenia;Centro);
9204;bus;GTFS route_id=9204  06;Santa Efigenia;Desvio Feira Da Av.Af.Pena);
9205;bus;GTFS route_id=9205  01;Nova Vista;Nova Cintra (Principal);
9205;bus;GTFS route_id=9205  03;Nova Vista;Nova Cintra (Atendimento Ao Bairro Patrocinio);
9206;bus;GTFS route_id=9206  01;Vera Cruz;Buritis (Principal);
9208;bus;GTFS route_id=9208  01;Taquaril;Conjunto Santa Maria (Principal);
9208;bus;GTFS route_id=9208  02;Taquaril;Conjunto Santa Maria (Nao Atendimento A R. Ercilia Siqueira);
9208;bus;GTFS route_id=9208  03;Taquaril;Centro);
9208;bus;GTFS route_id=9208  04;Taquaril;Conjunto Santa Maria (Atendimento A Rua Padre Feijo);
9209;bus;GTFS route_id=9209  01;Sagrada Familia;Gutierrez (Principal);
9210;bus;GTFS route_id=9210  01;Santa Teresa;Prado (Principal);
9211;bus;GTFS route_id=9211  01;Caetano Furquim;Havai (Principal);
9214;bus;GTFS route_id=9214  02;Caetano Furquim;Via Alto Havai (Principal);
9214;bus;GTFS route_id=9214  03;Caetano Furquim;Centro);
9250;bus;GTFS route_id=9250  02;Caetano Furquim;Nova Cintra Via Savassi (Principal);
9250;bus;GTFS route_id=9250  04;Caetano Furquim;Nova Cintra Via Savassi (Retorno Hospitais);
9250;bus;GTFS route_id=9250  06;Caetano Furquim;Nova Cintra Via Savassi (Partidas Da Av. Santa Albertina);
9402;bus;GTFS route_id=9402  01;Santa Ines;Santo Andre (Principal);
9403;bus;GTFS route_id=9403  01;Paraiso;Caicara (Principal);
9403;bus;GTFS route_id=9403  02;Paraiso;Caicara (Desvio Feira Da Av.Afonso Pena);
9403;bus;GTFS route_id=9403  03;Paraiso;Caicara (Atendimento A Rua Aureliano Magalhaes);
9404;bus;GTFS route_id=9404  01;Sao Lucas;Nova Esperanca (Principal);
9405;bus;GTFS route_id=9405  03;Instituto Agronomico;Monsenhor Messias (Principal);
9405;bus;GTFS route_id=9405  04;Instituto Agronomico;Monsenhor Messias (Desvio Da Rua Francisco Bicalho);
9407;bus;GTFS route_id=9407  01;Alto Vera Cruz;Dom Bosco (Principal);
9407;bus;GTFS route_id=9407  02;Alto Vera Cruz;Dom Bosco (Desvio Feira Da Av.Afonso Pena);
9407;bus;GTFS route_id=9407  03;Alto Vera Cruz;Dom Bosco (Atendimento A R. Osmario Soares);
9407;bus;GTFS route_id=9407  04;Alto Vera Cruz;At. Osmario Soares);
9408;bus;GTFS route_id=9408  01;Santa Efigenia;Padre Eustaquio (Principal);
9408;bus;GTFS route_id=9408  02;Santa Efigenia;Padre Eustaquio (Desvio Feira Da Av.Afonso Pena);
9410;bus;GTFS route_id=9410  01;Sagrada Familia;Coracao Eucaristico (Principal);
9411;bus;GTFS route_id=9411  01;Casa Branca;Sao Jose (Principal);
9411;bus;GTFS route_id=9411  03;Casa Branca;Sao Jose (Partida E.E. Walt Disney);
9412;bus;GTFS route_id=9412  11;Conj.Taquaril;Padre Eustaquio (Principal);
9412;bus;GTFS route_id=9412  12;Conj.Taquaril;Padre Eustaquio (Desvio Feira Afonso Pena);
9412;bus;GTFS route_id=9412  13;Conj.Taquaril;Padre Eustaquio (Noturno);
9412;bus;GTFS route_id=9412  14;Conj.Taquaril;Padre Eustaquio (Noturno E Desvio Feira Afonso Pena);
9414;bus;GTFS route_id=9414  01;Santa Ines;Joao Pinheiro (Principal);
9414;bus;GTFS route_id=9414  03;Santa Ines;Joao Pinheiro (Atendimento Ao California);
9414;bus;GTFS route_id=9414  04;Santa Ines;Joao Pinheiro (Atendimento A Rua Quinze (Marilac));
9415;bus;GTFS route_id=9415  01;Nossa Senhora De Fatima;Bonfim (Principal);
9501;bus;GTFS route_id=9501  01;Sao Lucas;Jaragua (Principal);
9501;bus;GTFS route_id=9501  05;Sao Lucas;Jaragua (Desvio Feira Da Av.Afonso Pena);
9501;bus;GTFS route_id=9501  07;Sao Lucas;Jaragua (Atendimento Ao Novo Sao Lucas);
9502;bus;GTFS route_id=9502  01;Sao Geraldo;Sao Francisco Via Esplanada (Principal);
9502;bus;GTFS route_id=9502  02;Sao Geraldo;Sao Francisco Via Esplanada (Atendimento A 4 Companhia);
9502;bus;GTFS route_id=9502  03;Sao Geraldo;Sao Francisco Via Esplanada (Atendimento A Ufmg);
9502;bus;GTFS route_id=9502  04;Sao Geraldo;Sao Francisco Via Esplanada (Zoologico Via Museu De Arte);
9502;bus;GTFS route_id=9502  05;Sao Geraldo;Sao Francisco Via Esplanada (Atendimento Direto Ufmg);
9503;bus;GTFS route_id=9503  01;Taquaril;Jaragua (Principal);
9503;bus;GTFS route_id=9503  02;Taquaril;Jaragua (Desvio Feira Da Av.Afonso Pena);
9550;bus;GTFS route_id=9550  01;Casa Branca;Sao Francisco Via Est. Jose Candido (Principal);
9550;bus;GTFS route_id=9550  02;Casa Branca;Sao Francisco Via Est. Jose Candido (Atendimento A Ufmg);
9550;bus;GTFS route_id=9550  03;Casa Branca;Sao Francisco Via Est. Jose Candido (Partida E.E. Walt Disney);
9801;bus;GTFS route_id=9801  01;Saudade;Santa Cruz (Principal);
9801;bus;GTFS route_id=9801  02;Saudade;Santa Cruz (Atendimento Ao Jonas Veiga);
9803;bus;GTFS route_id=9803  01;Taquaril;Palmares (Principal);
9803;bus;GTFS route_id=9803  02;Taquaril;Palmares (Desvio Feira Da Av. Afonso Pena);
9805;bus;GTFS route_id=9805  02;Santa Efigenia;Renascenca (Desvio Feira Da Av. Afonso Pena);
9805;bus;GTFS route_id=9805  03;Santa Efigenia;Renascenca (Principal);
-

== Suplementar


S10;bus;GTFS route_id=S10   01;Bh Shopping;Sao Francisco (Principal);
S19;bus;GTFS route_id=S19   01;Hospital Evangelico;Shopping Boulevard (Principal);
S20;bus;GTFS route_id=S20   01;Palmeiras;Serra (Principal);
S21;bus;GTFS route_id=S21   01;Dom Cabral;Bh Shopping (Principal);
S22;bus;GTFS route_id=S22   01;Buritis;Metro Calafate (Principal);
S22;bus;GTFS route_id=S22   02;Buritis;Metro Calafate (Partidas Da Av.Raul Mourao Guimaraes);
S22;bus;GTFS route_id=S22   03;Buritis;Metro Calafate (Estacao Calafate Ate Av.Dom Joao Vi);
S31;bus;GTFS route_id=S31   01;Petropolis;Barreiro (Principal);
S32;bus;GTFS route_id=S32   01;Itaipu;Cardoso (Principal);
S33;bus;GTFS route_id=S33   01;Lindeia;Milionarios (Principal);
S33;bus;GTFS route_id=S33   02;Lindeia;Milionarios (Partidas Da Rua Betula);
S33;bus;GTFS route_id=S33   03;Lindeia;Milionarios(Encerra No Bairro Milionarios));
S41;bus;GTFS route_id=S41   01;Conjunto California;Prado (Principal);
S50;bus;GTFS route_id=S50   01;Caicara;Nova Vista Via Ufmg (Principal);
S50;bus;GTFS route_id=S50   02;Caicara;Nova Vista Via Ufmg (Nao Atendimento A Ufmg);
S53;bus;GTFS route_id=S53   01;Confisco;Ouro Minas (Principal);
S54;bus;GTFS route_id=S54   01;Dom Bosco;Shopping Del Rey (Principal Via Castelo);
S54;bus;GTFS route_id=S54   02;Dom Bosco;Shopping Del Rey (Principal Via Padre Eustaquio);
S55;bus;GTFS route_id=S55   01;Santa Monica;Minas Shopping (Principal);
S56;bus;GTFS route_id=S56   01;Sao Jose;Vilarinho (Principal);
S60;bus;GTFS route_id=S60   01;Circular Venda Nova (Principal);Circular Venda Nova (Principal);
S60;bus;GTFS route_id=S60   02;Circular Venda Nova (Atendimento Ao Bairro Leticia);Circular Venda Nova (Atendimento Ao Bairro Leticia);
S61;bus;GTFS route_id=S61   01;Mantiqueira;Estacao Vilarinho (Principal);
S61;bus;GTFS route_id=S61   02;Mantiqueira;Est.Vilarinho (Encerra R.Nova Malibu));
S63;bus;GTFS route_id=S63   01;Circular Venda Nova (Principal);Circular Venda Nova (Principal);
S64;bus;GTFS route_id=S64   01;Circular Venda Nova (Principal);Circular Venda Nova (Principal);
S65;bus;GTFS route_id=S65   01;Sao Bernardo;Minas Caixa (Principal);
S66;bus;GTFS route_id=S66   01;Tupi;Europa (Principal);
S70;bus;GTFS route_id=S70   01;Conj. Felicidade;Shopping Del Rey (Principal);
S80;bus;GTFS route_id=S80   01;Jardim Vitoria;Estacao Vila Oeste (Principal);
S81;bus;GTFS route_id=S81   01;Circular Nordeste (Principal);Circular Nordeste (Principal);
S82;bus;GTFS route_id=S82   01;Circular Nordeste (Principal);Circular Nordeste (Principal);
S85;bus;GTFS route_id=S85   01;Minas Shopping;Santa Ines (Principal);
S92;bus;GTFS route_id=S92   01;Esplanada;Buritis (Principal);
-

</pre>

