<pre>
#
# Format: format is like in the OSM Wiki
#
# Links: [[...|...]] are interne link like in the OSM Wiki
#        [... ...] are external links
#
# Headers start with '=', '==', '===', '====', ... at the beginning of a line
#
# Simple text starts with '-' at the beginning of a line.
#    Simple text starts may only be placed directly after a header line.
#    A single '-' at the beginning of a line, followed by nothing:
#    - if there was simple text before, it creates a line feed (i.e. encloses the text in a paragraph <p> ... </p>)
#    - if there was no simple text before or a line feed, it creates an empty line (i.e. <p>&amp;nbsp;</p>)
#
# !!!Text yellow background!!! in simple text or headers
# '''''Text mit bold and italics''''' in simple text or headers
# '''Text with bold chars''' in simple text or headers
# ''Text with italic chars'' in simple text or headers
#
# Comments start with '#' at the beginning of a line. '#' inside text is not recognized as the start of a comment, i.e.. '#' may occur inside of text.
#
# Format of the file: UTF-8
#
#
# Cotents in CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' of route or route_master
#                250            defines that routes with 'ref'='250' are expected
#                250|250a|250b  defines that routes with 'ref'='250' or 'ref'='250a' or 'ref'='250b' are expected - independent of whether this is allowed according to PTv1/PTv2
# - type      == contents of tags 'route' respectively 'route_master'
# - comment   == can include comments like; Bus, Expressbus, ...  will not be analyzed, but simply be printed out
#                !Text with yellow background! in comment (surrounded by single !)
# - from      == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - to        == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - operator  == if there is more than one entry with "ref;type", then "operator" is used to distinguish between same line number in different cities/villages
#


= Overview on Public Transportation of the BHTtrans network in Belo Horizonte, MG

- Link to the data with the description of [[Belo_Horizonte/Public_Transport/Analysis/BHTrans_Lines|BHTrans Lines]] in OSM-Wiki.
- Link to more [[Talk:Belo_Horizonte/Public_Transport/Analysis|information]] in OSM-Wiki.

#
#ref;type;comment;from;to;operator

== Onibus

617;bus;GTFS route_id=617   02;Estacao Pampulha;Piratininga Via Rio Branco (Noturno);
617;bus;GTFS route_id=617   03;Estacao Pampulha;Estacao Pampulha);
617;bus;GTFS route_id=617   04;Estacao Pampulha;Piratininga Via Rio Branco (Partidas Da Estacao Pampulha);
618;bus;GTFS route_id=618   01;Estacao Pampulha;Rio Branco Via Jardim Leblon (Principal);
618;bus;GTFS route_id=618   02;Estacao Pampulha;Rio Branco Via Jardim Leblon (Noturno);
618;bus;GTFS route_id=618   03;Estacao Pampulha;Rio Branco Via Jardim Leblon (Partidas Do Jardim Leblon);
618;bus;GTFS route_id=618   04;Estacao Pampulha;Rio Branco Via Jardim Leblon (Partidas Da Estacao Pampulha);
618;bus;GTFS route_id=618   05;Estacao Pampulha;Estacao Pampulha);
619;bus;GTFS route_id=619   01;Estacao Pampulha;Santa Monica Via Santa Branca (Principal);
619;bus;GTFS route_id=619   02;Estacao Pampulha;Santa Monica Via Santa Branca (Noturno);
619;bus;GTFS route_id=619   03;Estacao Pampulha;Santa Monica Via Santa Branca (Via R. Visconde De Taunay);
620;bus;GTFS route_id=620   01;Estacao Pampulha;Santa Monica Via Santa Amelia (Principal);
620;bus;GTFS route_id=620   02;Estacao Pampulha;Santa Monica Via Santa Amelia (Partidas Da Estacao Pampulha);
620;bus;GTFS route_id=620   03;Estacao Pampulha;Est.Pampulha);
621;bus;GTFS route_id=621   01;Estacao Venda Nova;Lagoa (Principal);
621;bus;GTFS route_id=621   05;Estacao Venda Nova;Rua J. Sabino Maciel);
621;bus;GTFS route_id=621   06;Estacao Venda Nova;Lagoa (Noturno);
622;bus;GTFS route_id=622   01;Estacao Venda Nova;Lagoinha (Principal);
623;bus;GTFS route_id=623   01;Estacao Venda Nova;Vila Santa Branca (Principal);
623;bus;GTFS route_id=623   02;Estacao Venda Nova;Vila Santa Branca (Noturno);
624;bus;GTFS route_id=624   01;Estacao Venda Nova;Maria Helena A (Principal);
624;bus;GTFS route_id=624   02;Estacao Venda Nova;Maria Helena A (Noturno);
625;bus;GTFS route_id=625   01;Estacao Venda Nova;Maria Helena B (Principal);
625;bus;GTFS route_id=625   02;Estacao Venda Nova;Maria Helena B (Noturno);
626;bus;GTFS route_id=626   02;Estacao Venda Nova;Esplendor Via Nova America (Noturno);
626;bus;GTFS route_id=626   05;Estacao Venda Nova;Esplendor Via Nova America (Partidas Da R. Edmar Colini);
626;bus;GTFS route_id=626   06;Estacao Venda Nova;Esplendor Via Nova America (Principal);
626;bus;GTFS route_id=626   09;Estacao Venda Nova;Esplendor Via Nova America (Partidas Da Estacao Venda Nova);
626;bus;GTFS route_id=626   10;Estacao Venda Nova;Estacao Venda Nova);
627;bus;GTFS route_id=627   02;Estacao Venda Nova;Mantiqueira (Noturno);
627;bus;GTFS route_id=627   06;Estacao Venda Nova;Mantiqueira (Principal);
630;bus;GTFS route_id=630   01;Estacao Vilarinho;Serra Verde Via Av.Salamanca (Principal);
631;bus;GTFS route_id=631   01;Estacao Vilarinho;Serra Verde Via Minas Caixa (Principal);
631;bus;GTFS route_id=631   02;Estacao Vilarinho;Serra Verde Via Minas Caixa (Atendimento Ao Canaa);
633;bus;GTFS route_id=633   01;Estacao Vilarinho;Jardim Dos Comerciarios (Principal);
633;bus;GTFS route_id=633   02;Estacao Vilarinho;Jardim Dos Comerciarios (Noturno);
634;bus;GTFS route_id=634   01;Est. Vilarinho;Nova York Via Jd.Dos Comerciarios (Principal);
634;bus;GTFS route_id=634   04;Est. Vilarinho;Nova York Via Jd.Dos Comerciarios (Atendimento A Antena);
634;bus;GTFS route_id=634   05;Est. Vilarinho;Nova York Via Jd.Dos Comerciarios (Via Estacao Venda Nova);
634;bus;GTFS route_id=634   06;Est. Vilarinho;Estacao Vilarinho);
634;bus;GTFS route_id=634   07;Est. Vilarinho;Estacao Via Antena);
634;bus;GTFS route_id=634   08;Est. Vilarinho;Nova York Via Jd.Dos Comerciarios (Partidas Da Estacao Vilarinho);
634;bus;GTFS route_id=634   09;Est. Vilarinho;Est.Vilarinho Via Evn);
634;bus;GTFS route_id=634   10;Est. Vilarinho;Nova York Via Jd.Dos Comerciarios (Partidas Da Est.Vilarinho Via Evn);
635;bus;GTFS route_id=635   02;Estacao Vilarinho;Jardim Dos Comerciarios C (Principal);
636;bus;GTFS route_id=636   02;Estacao Vilarinho;Jardim Europa (Principal);
637;bus;GTFS route_id=637   01;Estacao Vilarinho;Canaa Via Serra Verde (Principal);
637;bus;GTFS route_id=637   04;Estacao Vilarinho;010);
637;bus;GTFS route_id=637   07;Estacao Vilarinho;Canaa);
638;bus;GTFS route_id=638   01;Estacao Vilarinho;Minas Caixa (Principal);
639;bus;GTFS route_id=639   01;Braunas;Shopping Del Rey (Principal);
640;bus;GTFS route_id=640   01;Estacao Venda Nova;Jardim Leblon Via Rio Branco (Principal);
641;bus;GTFS route_id=641   01;Estacao Vilarinho;Serra Verde (Principal);
