#ref;type;comment;from;to;operator
# Linie 443 wird durch die 423 ersetzt (Gültig mit Fahrplanwechsel am 3.10.2019)
443;bus;;Donauknoten;Querum;Braunschweiger Verkehrs-GmbH
445;bus;;Lengede;Donauknoten;Braunschweiger Verkehrs-GmbH
450;bus;;Vechelde;Rathaus;Braunschweiger Verkehrs-GmbH
452;bus;;Helmstedter Straße;Bornum/Gardessen;Braunschweiger Verkehrs-GmbH
454;bus;;Stadion;Schwarzer Berg;Braunschweiger Verkehrs-GmbH
455;bus;;Geitelde;Donauknoten;Braunschweiger Verkehrs-GmbH
461;bus;;PTB;Hauptbahnhof;Braunschweiger Verkehrs-GmbH
# Gültig mit Fahrplanwechsel am 3.10.2019
# 464;bus;;Harxbüttel;Stadion;Braunschweiger Verkehrs-GmbH
464;bus;;Rühme;Volkmarode;Braunschweiger Verkehrs-GmbH
465;bus;;Broitzem;Rüningen;Braunschweiger Verkehrs-GmbH
# Gültig mit Fahrplanwechsel am 3.10.2019
# 466;bus;;Rüningen;Broitzem;Braunschweiger Verkehrs-GmbH
471;bus;Anruf-Linien-Taxi;Klinikum Salzdahlumer Straße;Jägersruh;Braunschweiger Verkehrs-GmbH
480;bus;;Groß Schwülper;Rathaus;Braunschweiger Verkehrs-GmbH
481;bus;;Leiferde;Stöckheim;Braunschweiger Verkehrs-GmbH
482;bus;;Hauptbahnhof;Braunschweiger Verkehrs-GmbH;Braunschweiger Verkehrs-GmbH
484;bus;;Groß Schwülper;Rühme;Braunschweiger Verkehrs-GmbH
# Linie 485 wird durch die 466 ersetzt (Gültig mit Fahrplanwechsel am 3.10.2019)
485;bus;;Broitzem;Rüningen;Braunschweiger Verkehrs-GmbH
493;bus;;Rathaus;Neuerkerode;Braunschweiger Verkehrs-GmbH
#

=== Landkreis Peine
500;bus;;Peine;Peine;Omnibus Nahverkehr Service
501;bus;;Bründeln;Peine;Omnibus Nahverkehr Service
502;bus;;Harber;Peine;Omnibus Nahverkehr Service
503;bus;;Peine;Groß Ilsede;Omnibus Nahverkehr Service
504;bus;;Mehrum;Groß Ilsede;Omnibus Nahverkehr Service
505;bus;;Peine;Röhrse;Omnibus Nahverkehr Service
506;bus;;Eickenrode;Peine;Omnibus Nahverkehr Service
507;bus;;Oelserse;Edemissen;Omnibus Nahverkehr Service
508;bus;;Edemissen;Wipshausen;Omnibus Nahverkehr Service
509;bus;;Peine;Wipshausen;Peiner Verkehrsgesellschaft
511;bus;;Vechelde;Groß Gleidingen;Peiner Verkehrsgesellschaft
512;bus;;Peine;Harvesse;Peiner Verkehrsgesellschaft
513;bus;;Vechelde;Meerdorf;Peiner Verkehrsgesellschaft
514;bus;;Peine/Vechelde;Vechelde;Peiner Verkehrsgesellschaft
515;bus;;Groß Ilsede;Peine;Peiner Verkehrsgesellschaft
516;bus;;Wahle;Groß Gleidingen;Peiner Verkehrsgesellschaft
517;bus;;Peine;Peine;Peiner Verkehrsgesellschaft
521;bus;;Peine Bahnhof;Peine Klinikum;Peiner Verkehrsgesellschaft
522;bus;;Vöhrum Bahnhof;Peine Bahnhof;Peiner Verkehrsgesellschaft
524;bus;;Peine Bahnhof;Peine Bahnhof;Peiner Verkehrsgesellschaft
525;bus;;Peine Bahnhof;Stederdorf;Peiner Verkehrsgesellschaft
530;bus;;Peine;Broistedt;Omnibus Nahverkehr Service
531;bus;nur an Schultagen;Peine;Broistedt;Omnibus Nahverkehr Service
560;bus;;Wipshausen;Rathaus;Kraftverkehr Mundstock
566;bus;;Zweidorf;Vechelde;Kraftverkehr Mundstock
#
=== Stadt Salzgitter
601;bus;Expressbus;Salzgitter-Lebenstedt;Braunschweig;KVG Braunschweig
602;bus;;Braunschweig;Braunschweig;KVG Braunschweig
603;bus;;Salzgitter-Bad;Braunschweig;KVG Braunschweig
604;bus;;Salzgitter-Lebenstedt;Braunschweig;KVG Braunschweig
606;bus;;Salzgitter-Lebenstedt;Baddeckenstedt;KVG Braunschweig
607;bus;;Salzgitter-Lebenstedt;Klein Flöthe;KVG Braunschweig
608;bus;;Salzgitter-Lebenstedt;Salzgitter-Lebenstedt;KVG Braunschweig
609;bus;;Salzgitter-Lebenstedt;Salzgitter-Lebenstedt;KVG Braunschweig
610;bus;Expressbus;Salzgitter-Lebenstedt;Salzgitter-Bad;KVG Braunschweig
611;bus;;Salzgitter-Bad;Salzgitter-Hohenrode;KVG Braunschweig
612;bus;;Salzgitter-Lebenstedt;Salzgitter-Bad;KVG Braunschweig
613;bus;;Salzgitter-Lebenstedt;Salzgitter-Bad;KVG Braunschweig
615;bus;;Salzgitter-Bad;Fachhochschule;KVG Braunschweig
616;bus;;Salzgitter-Lebenstedt;Salzgitter-Fredenberg;KVG Braunschweig
618;bus;;Salzgitter-Bad;Thermasolbad;KVG Braunschweig
