<pre>
#
# Format: format is like in the OSM Wiki
#
# Links: [[...|...]] are interne link like in the OSM Wiki
#        [... ...] are external links
#
# Headers start with '=', '==', '===', '====', ... at the beginning of a line
#
# Simple text starts with '-' at the beginning of a line.
#    Simple text starts may only be placed directly after a header line.
#    A single '-' at the beginning of a line, followed by nothing:
#    - if there was simple text before, it creates a line feed (i.e. encloses the text in a paragraph <p> ... </p>)
#    - if there was no simple text before or a line feed, it creates an empty line (i.e. <p>&amp;nbsp;</p>)
#
# !!!Text yellow background!!! in simple text or headers
# '''''Text mit bold and italics''''' in simple text or headers
# '''Text with bold chars''' in simple text or headers
# ''Text with italic chars'' in simple text or headers
#
# Comments start with '#' at the beginning of a line. '#' inside text is not recognized as the start of a comment, i.e.. '#' may occur inside of text.
#
# Format of the file: UTF-8
#
#
# Cotents in CSV-Format
#
# ref;type;comment;from;to;operator
#
# - ref       == tag 'ref' of route or route_master
#                250            defines that routes with 'ref'='250' are expected
#                250|250a|250b  defines that routes with 'ref'='250' or 'ref'='250a' or 'ref'='250b' are expected - independent of whether this is allowed according to PTv1/PTv2
# - type      == contents of tags 'route' respectively 'route_master'
# - comment   == can include comments like; Bus, Expressbus, ...  will not be analyzed, but simply be printed out
#                !Text with yellow background! in comment (surrounded by single !)
# - from      == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - to        == if there is more than one entry with "ref;type" and "operator" is the same, then 'from' and 'to are also used to distinguish between same line number in different cities/villages
# - operator  == if there is more than one entry with "ref;type", then "operator" is used to distinguish between same line number in different cities/villages
#


= Overview on Public Transportation of RGTR network in Lëtzebuerg

- Link to the data with the description of [[WikiProject_Luxembourg/Public_Transport/Analysis/LU-RGTR-Routes|RGTR Lines]] in OSM-Wiki.
- Link to more [[Talk:WikiProject_Luxembourg/Public_Transport/Analysis/RGTR|information]] in OSM-Wiki.

== Note

- For the analysis, 'network' is expected as
-
- * "RGTR"                                    short form, oder
-
- * "Régime Général des Transports Routiers"  long form, or
-
- * empty string, i.e. not set
-
#
#ref;type;comment;from;to;operator

== Buslinen RGTR

193;bus;GTFS route_id=3:RGTR--:193;Hassel, Küneftchen;Merl, Geesseknäppchen (S);
194;bus;GTFS route_id=3:RGTR--:194;Sandweiler, Am Eck;Bettembourg, Gare;
195;bus;GTFS route_id=3:RGTR--:195;Kirchberg, Rehazenter;Peppange, Duerfplaz;
196;bus;GTFS route_id=3:RGTR--:196;Crauthem, Am Gruef;Merl, Geesseknäppchen (S);
197;bus;GTFS route_id=3:RGTR--:197;Luxembourg, Gare Rocade;Ottange, Pl. de Montcontour;
198;bus;GTFS route_id=3:RGTR--:198;Noertzange, Route de Kayl;Merl, Geesseknäppchen (S);
199;bus;GTFS route_id=3:RGTR--:199;Rumelange, A Wiendelen;Merl, Geesseknäppchen (S);
200;bus;GTFS route_id=3:RGTR--:200;Gasperich, Cloche d'Or;Bettembourg, Gare;
201;bus;GTFS route_id=3:RGTR--:201;Merl, Geesseknäppchen (S);Bettembourg, Café du Stadion;
202;bus;GTFS route_id=3:RGTR--:202;Centre, Monterey Parc;Obercorn, Chiers;
203;bus;GTFS route_id=3:RGTR--:203;Centre, Monterey Parc;Niedercorn, Hahneboesch;
204;bus;GTFS route_id=3:RGTR--:204;Merl, Geesseknäppchen (S);Differdange, Arbed;
205;bus;GTFS route_id=3:RGTR--:205;Luxembourg, Gare routière;Esch/Alzette, Lycée Tech.Lal.;
206;bus;GTFS route_id=3:RGTR--:206;Mondercange, Musekssall;Merl, Geesseknäppchen (S);
207;bus;GTFS route_id=3:RGTR--:207;Kirchberg, Gare routière Luxexpo;Dudelange, Gemeng;
208;bus;GTFS route_id=3:RGTR--:208;Leudelange, LaLux;Bettembourg, Gare;
209;bus;GTFS route_id=3:RGTR--:209;Howald, P&R Howald;Université, Gare;
210;bus;GTFS route_id=3:RGTR--:210;Bascharage/Sanem, Gare;Luxembourg, Gare routière;
211;bus;GTFS route_id=3:RGTR--:211;Merl, Geesseknäppchen (S);Sanem, Op Lohr;
212;bus;GTFS route_id=3:RGTR--:212;Rodange, Gare;Centre, Monterey Parc;
213;bus;GTFS route_id=3:RGTR--:213;Kirchberg, Rehazenter;Bertrange, Gemeng;
215;bus;GTFS route_id=3:RGTR--:215;Bascharage, R.P. André Siebenbour;Centre, Stäreplaz / Étoile;
216;bus;GTFS route_id=3:RGTR--:216;Merl, Geesseknäppchen (N);Bascharage, R.P. André Siebenbour;
218;bus;GTFS route_id=3:RGTR--:218;Messancy, Gare;Centre, Stäreplaz / Étoile;
222;bus;GTFS route_id=3:RGTR--:222;Kirchberg, Rehazenter;Steinfort, Um Quai;
225;bus;GTFS route_id=3:RGTR--:225;Merl, Geesseknäppchen (N);Bertrange, Dicks;
226;bus;GTFS route_id=3:RGTR--:226;Alzingen, Hondsbréck;Bertrange, Belle Etoile;
233;bus;GTFS route_id=3:RGTR--:233;Limpertsberg, L.T.C.;Strassen, Huorgarten;
240;bus;GTFS route_id=3:RGTR--:240;Centre, Monterey Parc;Clemency, Schock;
241;bus;GTFS route_id=3:RGTR--:241;Limpertsberg, L.T.C.;Clemency, Schock;
248;bus;GTFS route_id=3:RGTR--:248;Centre, Stäreplaz / Étoile;Eischen, Denn;
249;bus;GTFS route_id=3:RGTR--:249;Limpertsberg, L.T.C.;Eischen, Denn;
250;bus;GTFS route_id=3:RGTR--:250;Redange, Lycée Atert;Centre, Monterey Parc;
251;bus;GTFS route_id=3:RGTR--:251;Merl, Geesseknäppchen (N);Ell, Beim Musikssaul;
255;bus;GTFS route_id=3:RGTR--:255;Septfontaines, Schoul;Centre, Monterey Parc;
256;bus;GTFS route_id=3:RGTR--:256;Merl, Geesseknäppchen (N);Septfontaines, Schoul;
258;bus;GTFS route_id=3:RGTR--:258;Centre, Stäreplaz / Étoile;Rambrouch, Gare;
260;bus;GTFS route_id=3:RGTR--:260;Keispelt, Bei Péickes;Centre, Monterey Parc;
261;bus;GTFS route_id=3:RGTR--:261;Merl, Geesseknäppchen (N);Keispelt, Bei Péickes;
262;bus;GTFS route_id=3:RGTR--:262;Keispelt, Bei Péickes;Centre, Stäreplaz / Étoile;
265;bus;GTFS route_id=3:RGTR--:265;Redange, Gare;Centre, Monterey Parc;
266;bus;GTFS route_id=3:RGTR--:266;Merl, Geesseknäppchen (N);Redange, Gare;
267;bus;GTFS route_id=3:RGTR--:267;Proz, Bousserpad;Centre, Stäreplaz / Étoile;
270;bus;GTFS route_id=3:RGTR--:270;Hollenfels, Vereinsbau;Limpertsberg, L.T.C.;
272;bus;GTFS route_id=3:RGTR--:272;Ehner, Kapell;Saeul, Beim Sand;
275;bus;GTFS route_id=3:RGTR--:275;Mersch, Gare;Limpertsberg, Theater;
276;bus;GTFS route_id=3:RGTR--:276;Merl, Geesseknäppchen (N);Kopstal, Bréck;
282;bus;GTFS route_id=3:RGTR--:282;Limpertsberg, Theater;Steinsel, Kennedy;
286;bus;GTFS route_id=3:RGTR--:286;Steinsel, Michel Rodange Plaz;Limpertsberg, L.T.C.;
287;bus;GTFS route_id=3:RGTR--:287;Limpertsberg, L.T.C.;Mersch, Gare;
288;bus;GTFS route_id=3:RGTR--:288;Limpertsberg, L.T.C.;Boevange, Gare;
289;bus;GTFS route_id=3:RGTR--:289;Mersch, Maartplaz;Limpertsberg, L.T.C.;
290;bus;GTFS route_id=3:RGTR--:290;Mersch, Gare;Centre, Badanstalt;
295;bus;GTFS route_id=3:RGTR--:295;Mertzig, Gemeng;Mersch, Gare;
300;bus;GTFS route_id=3:RGTR--:300;Thionville, Foch Kiosque;Kirchberg, Europe Gare routière;
301;bus;GTFS route_id=3:RGTR--:301;Thionville, Foch Kiosque;Leudelange, LaLux;
303;bus;GTFS route_id=3:RGTR--:303;Kirchberg, Europe Gare routière;Manom, Centre Commercial;
304;bus;GTFS route_id=3:RGTR--:304;Ellange, Martialis;Bettembourg, Gare;
305;bus;GTFS route_id=3:RGTR--:305;Bettembourg, Gare;Bettembourg, Gare;
306;bus;GTFS route_id=3:RGTR--:306;Belvaux, Lycée Bel;Allee;
307;bus;GTFS route_id=3:RGTR--:307;Bettembourg, Gare;Esch/Alzette, Gare;
308;bus;GTFS route_id=3:RGTR--:308;Bettembourg, Gare;Val;
309;bus;GTFS route_id=3:RGTR--:309;Belvaux, Lycée Bel;Grevenmacher, Gare routière;
310;bus;GTFS route_id=3:RGTR--:310;Noertzange, Gare;Dudelange, Lycée Nic Biever;
311;bus;GTFS route_id=3:RGTR--:311;Peppange, Kirchwois;Dudelange, Lycée Nic Biever;
312;bus;GTFS route_id=3:RGTR--:312;Pontpierre, Pompjeesbau;Esch/Alzette, Lycée H. Clement;
313;bus;GTFS route_id=3:RGTR--:313;Esch/Alzette, Gare;Reckange/Mess, Am Duerf;
314;bus;GTFS route_id=3:RGTR--:314;Esch/Alzette, Gare;Mondercange, A.Thinnes;
315;bus;GTFS route_id=3:RGTR--:315;Perl, Schampaul;Nennig, Bahnhof;
319;bus;GTFS route_id=3:RGTR--:319;Piennes, Zone d'activités;Baptiste Merkels;
321;bus;GTFS route_id=3:RGTR--:321;Villerupt, Barbusse;Centre, Monterey Parc;
322;bus;GTFS route_id=3:RGTR--:322;Esch/Alzette, Gare;Rédange, Mairie;
323;bus;GTFS route_id=3:RGTR--:323;Yutz, AéroPark P&R;Kirchberg, Europe Gare routière;
325;bus;GTFS route_id=3:RGTR--:325;Hussigny, Place de l'Eglise;Obercorn, Chiers;
329;bus;GTFS route_id=3:RGTR--:329;Kleinbettingen, Gare;Bour;
330;bus;GTFS route_id=3:RGTR--:330;Mt.St.Martin, Douane;Pétange, Gare;
