#ref;type;comment;from;to;operator
RE;train;GTFS route_id=2:C82---:RE6900;Luxembourg, Gare Centrale;Rodange, Gare;
RE;train;GTFS route_id=2:C82---:RE7400;Luxembourg, Gare Centrale;Rodange, Gare;
RE;train;GTFS route_id=2:C82---:RE8600;Luxembourg, Gare Centrale;Arlon, Gare;
RE;train;GTFS route_id=2:C82---:RE86500;Luxembourg, Gare Centrale;Longwy, Gare;
RE;train;GTFS route_id=2:C87---:RE86500;Longwy, Gare;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C88---:RE2100;Arlon, Gare;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C88---:RE4600;Arlon, Gare;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C88---:RE7600;Arlon, Gare;Luxembourg, Gare Centrale;
RE;train;GTFS route_id=2:C88---:RE8600;Gouvy, Gare;Luxembourg, Gare Centrale;
TER;train;GTFS route_id=2:C82---:TER88500;Luxembourg, Gare Centrale;Nancy, Ville;
TER;train;GTFS route_id=2:C82---:TER88600;Luxembourg, Gare Centrale;Nancy, Ville;
TER;train;GTFS route_id=2:C82---:TER88700;Luxembourg, Gare Centrale;Thionville, Gare;
TER;train;GTFS route_id=2:C82---:TER88800;Luxembourg, Gare Centrale;Thionville, Gare;
TER;train;GTFS route_id=2:C87---:TER88500;Thionville, Gare;Luxembourg, Gare Centrale;
TER;train;GTFS route_id=2:C87---:TER88700;Thionville, Gare;Bettembourg, Gare;
TER;train;GTFS route_id=2:C87---:TER88800;Thionville, Gare;Luxembourg, Gare Centrale;
TGV;train;GTFS route_id=2:C82---:TGV2800;Bettembourg, Gare;Ville;
TGV;train;GTFS route_id=2:C82---:TGV9800;Bettembourg, Gare;Thionville, Gare;
TGV;train;GTFS route_id=2:C87---:TGV2800;Thionville, Gare;Luxembourg, Gare Centrale;
TGV;train;GTFS route_id=2:C87---:TGV9800;Thionville, Gare;Luxembourg, Gare Centrale;

</pre>
