#ref;type;comment;from;to;operator
239;bus;;;;
240;bus;;;;
241;bus;;;;
245;bus;;;;
247;bus;;;;
248;bus;;;;
250;bus;;;;
251;bus;;;;
252;bus;;;;
254;bus;;;;
256;bus;;;;
257;bus;;;;
260;bus;;;;
261;bus;;;;
263;bus;;;;
264;bus;;;;
270;bus;;;;
271;bus;;;;
274;bus;;;;
275;bus;;;;
276;bus;;;;
278;bus;;;;
281;bus;;;;
283;bus;;;;
284;bus;;;;
285;bus;;;;
286;bus;;;;
288;bus;;;;
289;bus;;;;
292;bus;;;;
293;bus;;;;
294;bus;;;;
295;bus;;;;
321;bus;;;;
322;bus;;;;
323;bus;;Fersenweg;Schule Curslack (Kehre);Verkehrsbetriebe Hamburg-Holstein GmbH
327;bus;;Bf. Bergedorf; Schule Curslack (Kehre) / Zwischen den Zäunen;Verkehrsbetriebe Hamburg-Holstein GmbH
328;bus;;;;
329;bus;;;;
330;bus;;;;
332;bus;;;;
336;bus;;;;
337;bus;;;;
338;bus;;;;
339;bus;;;;
345;bus;;;;
347;bus;;;;
351;bus;;;;
354;bus;;;;
355;bus;;;;
362;bus;;;;
363;bus;;;;
364;bus;;;;
368;bus;;;;
374;bus;;;;
375;bus;;;;
378;bus;;;;
385;bus;;;;
388;bus;;;;
389;bus;;;;
391;bus;;;;
392;bus;;;;
393;bus;;;;
394;bus;;;;
410;bus;;;;
411;bus;;;;
412;bus;;;;
413;bus;;;;
422;bus;;;;
424;bus;;;;
427;bus;;;;
428;bus;;;;
432;bus;;;;
436;bus;;;;
438;bus;;;;
439;bus;;;;
447;bus;;;;
448;bus;;;;
451;bus;;;;
454;bus;;;;
461;bus;;;;
462;bus;;;;
464;bus;;;;
465;bus;;;;
474;bus;;;;
476;bus;;;;
478;bus;;;;
488;bus;;;;
489;bus;;;;
493;bus;;;;
494;bus;;;;
529;bus;;;;
533;bus;;;;
534;bus;;;;
535;bus;;;;
537;bus;;;;
562;bus;;;;
563;bus;;;;
567;bus;;;;
569;bus;;;;
574;bus;;;;
576;bus;;;;
578;bus;;;;
588;bus;;;;
593;bus;;;;
733;bus;;;;
736;bus;;;;
737;bus;;;;
764;bus;;;;
765;bus;;;;
774;bus;;;;
781;bus;;;;
794;bus;;;;
796;bus;;;;

== Busverkehr im Kreis Pinneberg
=== StadtBus
395;bus;;;;
=== RegionalBus
589;bus;;;;
594;bus;;;;
6668;bus;;;;
=== Anruf-Sammel-Taxi (AST)
8769-AST;bus;;;;
8888-AST;bus;;;;
8889-AST;bus;;;;

== Busverkehr im Kreis Stormarn
264;bus;;;;Autokraft GmbH
364;bus;;;;Autokraft GmbH


== Busverkehr im Kreis Stormarn
=== StadtBus
169;bus;;;;
268;bus;;;;
269;bus;;;;
369;bus;;;;
376;bus;;;;
536;bus;;;;
769;bus;;;;
776;bus;;;;
648;bus;;;;
658;bus;;;;
896;bus;;;;
8101;bus;;;;Autokraft GmbH
8102;bus;;;;Autokraft GmbH
8103;bus;;;;Autokraft GmbH
8104;bus;;;;Autokraft GmbH
8105;bus;;;;Autokraft GmbH
8106;bus;;;;

=== RegionalBus
333;bus;;;;
433;bus;;;;
8110;bus;;;;
8111;bus;;;;Autokraft GmbH
8112;bus;;;;Autokraft GmbH
8113;bus;;;;Autokraft GmbH
8114;bus;;;;Autokraft GmbH
8115;bus;;;;Autokraft GmbH
8116;bus;;;;Autokraft GmbH
8117;bus;;;;Autokraft GmbH
8118;bus;;;;Autokraft GmbH
8119;bus;;;;Autokraft GmbH
8120;bus;;;;
8130;bus;;;;
8140;bus;;;;
8160;bus;;;;
8170;bus;;;;
8180;bus;;;;
8181;bus;;;;
8182;bus;;;;

== Busverkehr im Kreis Herzogtum Lauenburg
=== StadtBus
443;bus;;;;
539;bus;;;;
8502;bus;;;;

=== RegionalBus
131;bus;;;;
735;bus;;;;
8752;bus;;;;
8754;bus;;;;
8794;bus;;;;
8755;bus;;;;
8792;bus;;;;
8800;bus;;;;
8810;bus;;;;
8811;bus;;;;
8830;bus;;;;
8831;bus;;;;

== Busverkehr im Landkreis Lüneburg / weitere Infos unter https://www.luenebus.de/
=== Stadtverkehr Lüneburg
5001;bus;Universitätslinie;Leuphana;Bahnhof/ZOB;KVG Stade GmbH & Co. KG
5002;bus;;ZOB;Bardowick;KVG Stade GmbH & Co. KG
5003;bus;;ZOB;Oedeme;KVG Stade GmbH & Co. KG
5004;bus;;ZOB;Hanseviertel;KVG Stade GmbH & Co. KG
5005;bus;;Goseburg;Ochtmissen;KVG Stade GmbH & Co. KG
5006;bus;;ZOB;Adendorf;KVG Stade GmbH & Co. KG
5007;bus;;Oedeme;Erbstorf/Adendorf;KVG Stade GmbH & Co. KG
5009;bus;;Freibad;Vögelsen/Mechtersen;KVG Stade GmbH & Co. KG
5010;bus;;ZOB;Hafen;KVG Stade GmbH & Co. KG
5011;bus;;Bülows Kamp;Häcklingen/ Rettmer;KVG Stade GmbH & Co. KG
5012;bus;;Bockelsberg;Hagen;KVG Stade GmbH & Co. KG
5013;bus;;ZOB;Reppenstedt;KVG Stade GmbH & Co. KG
5014;bus;;Wilhelm-Leuschner-Straße/Kaltenmoor;Kreideberg;KVG Stade GmbH & Co. KG
5015;bus;;Jüttkenmoor;Ebensberg;KVG Stade GmbH & Co. KG
5019;bus;;ZOB;Wendisch Evern;KVG Stade GmbH & Co. KG
5020;bus;;ZOB;Deutsch Evern;KVG Stade GmbH & Co. KG

=== RegionalBus
4405;bus;;;;KVG Stade GmbH & Co. KG
4406;bus;;;;KVG Stade GmbH & Co. KG
4714;bus;;;;KVG Stade GmbH & Co. KG
4945;bus;;;;KVG Stade GmbH & Co. KG
4947;bus;;;;KVG Stade GmbH & Co. KG
5100;bus;;;;KVG Stade GmbH & Co. KG
5101;bus;;;;KVG Stade GmbH & Co. KG
5102;bus;;;;KVG Stade GmbH & Co. KG
5103;bus;;;;KVG Stade GmbH & Co. KG
5104;bus;;;;KVG Stade GmbH & Co. KG
5110;bus;;;;KVG Stade GmbH & Co. KG
5111;bus;;;;KVG Stade GmbH & Co. KG
